what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1418890095353
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1418890095353
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1418890095353
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1418890095353
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1418890095373
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1418890095373
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1418890095383
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1418890095383
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1418890095393
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1418890095393
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1418890095413
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1418890095413
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1418890095433
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1418890095463
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1418890095463
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1418890095463
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1418890095463
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1418890095463
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1418890095463
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1418890095463
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1418890095483
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1418890095493
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1418890095503
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1418890095503
started,bundle,com.altera.sbtgui.project,14.0.0.209,"com.altera.sbtgui.project",1418890095513
started,bundle,com.altera.sbtgui.ui,14.0.0.209,"com.altera.sbtgui.ui",1418890095513
os,sysinfo,,,"win32",1418890095523
arch,sysinfo,,,"x86_64",1418890095523
ws,sysinfo,,,"win32",1418890095523
locale,sysinfo,,,"zh_CN",1418890095523
processors,sysinfo,,,"2",1418890095523
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1418890095523
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1418890095523
java.specification.name,sysinfo,,,"Java Platform API Specification",1418890095523
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1418890095523
java.specification.version,sysinfo,,,"1.6",1418890095523
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1418890095523
java.version,sysinfo,,,"1.6.0_23",1418890095523
java.vm.info,sysinfo,,,"mixed mode",1418890095523
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1418890095523
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1418890095523
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1418890095523
java.vm.specification.version,sysinfo,,,"1.0",1418890095523
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1418890095523
java.vm.version,sysinfo,,,"19.0-b09",1418890095523
started,bundle,com.altera.sbtgui.integration,14.0.0.209,"com.altera.sbtgui.integration",1418890095613
started,bundle,com.altera.systemconsole,14.0.0.209,"com.altera.systemconsole",1418890095653
started,bundle,com.altera.utilities,14.0.0.209,"com.altera.utilities",1418890095853
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.209,"com.altera.systemconsole.designs.plugin",1418890095963
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1418890096215
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1418890096365
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1418890096515
started,bundle,com.altera.sbtgui.launch,14.0.0.209,"com.altera.sbtgui.launch",1418890097767
started,bundle,com.altera.sbtgui.core,14.0.0.209,"com.altera.sbtgui.core",1418890097997
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1418890098727
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1418890100607
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1418890100757
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1418890100757
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1418890100797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890104159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418890135672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1418890145852
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1418890161628
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1418890161928
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1418890163436
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1418890169744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890181846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890188698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890245975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890248814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890260724
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1418890262824
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1418890262844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890264454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890271040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1418890274591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890274921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890277341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890277675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890283577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890309831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890310801
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1418890312773
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1418890312783
started,bundle,com.altera.sbt4e.launch,14.0.0.209,"com.altera.sbt4e.launch",1418890312803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890315323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890322055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890322975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890327657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890329579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890331631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890333541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890339562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890340704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890344176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890349956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890350784
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1418890350794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890351106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890352180
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1418890354157
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1418890354530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890354656
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1418890354772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890355745
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1418890359199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890360846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890380824
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1418890380848
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1418890381220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890383432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890393231
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1418890394746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890395048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890398918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890423336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890424476
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1418890424616
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418890424876
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1418890425658
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1418890425658
stopped,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.209,"com.altera.debug.cdi.gdb.plugin",1418890425705
stopped,bundle,com.altera.sbtgui.launch,14.0.0.209,"com.altera.sbtgui.launch",1418890425705
stopped,bundle,com.altera.sbt4e.launch,14.0.0.209,"com.altera.sbt4e.launch",1418890425705
stopped,bundle,com.altera.sbtgui.ui,14.0.0.209,"com.altera.sbtgui.ui",1418890425705
stopped,bundle,com.altera.sbtgui.project,14.0.0.209,"com.altera.sbtgui.project",1418890425705
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1418890425705
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1418890425705
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1418890425705
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1418890425705
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1418890425743
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1418890425790
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1418890425800
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1418890425830
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1418890425830
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1418890425880
